1649033100000,3169.67000000,3174.09000000,3167.30000000,3167.64000000,47.26700000,1649033279999,149870.70265500,135,27.07990000,85852.80137600,0
1649033280000,3167.62000000,3167.62000000,3158.43000000,3158.43000000,68.80360000,1649033459999,217595.08960100,162,22.18780000,70172.64506400,0
1649033460000,3158.52000000,3162.55000000,3153.13000000,3161.68000000,54.31280000,1649033639999,171479.65373400,135,21.14520000,66755.13776600,0
1649033640000,3162.07000000,3163.76000000,3158.08000000,3158.14000000,24.24800000,1649033819999,76633.72595900,71,5.43960000,17195.16295900,0
1649033820000,3158.40000000,3158.40000000,3142.20000000,3146.29000000,103.98550000,1649033999999,327483.94547700,294,38.83460000,122237.90897300,0
1649034000000,3146.82000000,3155.78000000,3143.94000000,3155.19000000,25.59760000,1649034179999,80618.52389100,96,16.53610000,52064.28741900,0
1649034180000,3154.71000000,3155.82000000,3146.53000000,3146.53000000,9.17310000,1649034359999,28895.27155100,52,5.04970000,15900.44234600,0
1649034360000,3146.63000000,3153.78000000,3145.93000000,3153.78000000,60.29870000,1649034539999,189874.20765300,149,22.15960000,69797.82074000,0
1649034540000,3153.48000000,3158.70000000,3152.86000000,3156.95000000,20.72860000,1649034719999,65416.68256000,92,4.34260000,13708.86045500,0
1649034720000,3156.67000000,3159.43000000,3154.88000000,3159.43000000,9.36900000,1649034899999,29584.21005000,43,5.60580000,17701.52339000,0
1649034900000,3159.73000000,3163.52000000,3159.71000000,3163.52000000,10.59580000,1649035079999,33500.66817500,54,7.31280000,23122.17645300,0
1649035080000,3164.29000000,3164.53000000,3155.32000000,3155.32000000,26.56870000,1649035259999,83972.10254600,109,4.18600000,13233.13330300,0
1649035260000,3155.74000000,3157.18000000,3153.47000000,3157.18000000,15.22920000,1649035439999,48048.89831600,68,11.03420000,34811.23691900,0
1649035440000,3156.18000000,3156.18000000,3152.07000000,3153.15000000,15.40520000,1649035619999,48574.79391100,46,7.72570000,24365.61382400,0
1649035620000,3153.07000000,3158.23000000,3152.40000000,3158.08000000,16.80340000,1649035799999,53015.47556300,52,12.30670000,38825.86374200,0
1649035800000,3158.75000000,3160.58000000,3152.75000000,3155.77000000,33.29410000,1649035979999,105072.07226200,110,11.97620000,37794.82927200,0
1649035980000,3155.67000000,3163.24000000,3155.63000000,3163.24000000,19.94620000,1649036159999,63020.46325200,88,9.85270000,31114.57543500,0
1649036160000,3162.59000000,3162.59000000,3158.96000000,3161.42000000,29.40480000,1649036339999,92949.77523900,87,15.97590000,50492.06586300,0
1649036340000,3161.17000000,3161.17000000,3153.12000000,3153.12000000,30.02790000,1649036519999,94817.03974700,74,16.74950000,52889.92375400,0
1649036520000,3152.85000000,3154.91000000,3149.85000000,3154.91000000,11.11220000,1649036699999,35027.31400600,47,6.29750000,19853.74949700,0
1649036700000,3154.93000000,3159.92000000,3154.87000000,3158.12000000,37.94800000,1649036879999,119837.34937200,93,9.67980000,30567.61710500,0
1649036880000,3157.97000000,3161.40000000,3157.37000000,3160.45000000,19.20990000,1649037059999,60710.02141500,63,1.30080000,4110.46731700,0
1649037060000,3160.25000000,3161.77000000,3159.92000000,3160.99000000,8.95710000,1649037239999,28313.14004700,32,4.52730000,14310.93665400,0
1649037240000,3161.43000000,3162.74000000,3160.76000000,3161.48000000,2.93030000,1649037419999,9266.17828300,16,1.21690000,3848.46191200,0
1649037420000,3162.13000000,3162.95000000,3156.32000000,3156.32000000,12.36480000,1649037599999,39080.60922700,49,8.55840000,27051.05865000,0
