date,open,high,low,close,Volume,Close time,Quote asset volume,Trades,Tbbav,Tbqav,ig
1649264940000,2926.53000000,2932.47000000,2921.46000000,2922.34000000,50.19810000,1649265119999,146973.33478000,159,26.17490000,76676.21360500,0
1649265120000,2923.45000000,2931.08000000,2919.28000000,2928.64000000,90.98470000,1649265299999,266088.75091500,247,36.80160000,107670.98373000,0
1649265300000,2928.14000000,2938.79000000,2925.76000000,2935.40000000,65.77370000,1649265479999,192987.81283600,207,35.08100000,102927.99836600,0
1649265480000,2933.04000000,2935.95000000,2927.18000000,2934.17000000,38.26120000,1649265659999,112191.16527800,139,21.21040000,62198.00523100,0
1649265660000,2934.17000000,2944.67000000,2934.04000000,2944.67000000,53.18750000,1649265839999,156373.27050400,160,31.87030000,93705.71086800,0
1649265840000,2943.36000000,2946.86000000,2941.44000000,2945.83000000,65.73410000,1649266019999,193498.65070700,153,27.55250000,81113.50513100,0
1649266020000,2944.72000000,2944.72000000,2938.72000000,2942.78000000,15.27300000,1649266199999,44916.37026400,88,10.91450000,32100.57640400,0
1649266200000,2944.45000000,2944.45000000,2937.32000000,2939.66000000,15.57700000,1649266379999,45809.22495500,95,4.20490000,12366.78493000,0
1649266380000,2939.40000000,2947.26000000,2937.16000000,2939.13000000,55.24100000,1649266559999,162569.13374500,178,30.94720000,91062.47142700,0
1649266560000,2936.69000000,2941.37000000,2935.00000000,2936.02000000,24.86110000,1649266739999,73044.27230100,85,14.97630000,43995.28324800,0
1649266740000,2937.53000000,2953.54000000,2937.52000000,2951.46000000,116.30570000,1649266919999,342757.90482800,415,62.80780000,185139.65614300,0
1649266920000,2951.82000000,2951.83000000,2946.00000000,2946.89000000,88.65360000,1649267099999,261419.45258900,211,35.28870000,104080.77456200,0
1649267100000,2946.67000000,2953.57000000,2946.17000000,2952.64000000,53.62640000,1649267279999,158177.58667700,186,27.49010000,81080.92767600,0
1649267280000,2953.71000000,2960.24000000,2953.53000000,2955.20000000,81.94530000,1649267459999,242324.22682000,218,43.61530000,128969.73271500,0
1649267460000,2955.25000000,2962.82000000,2952.80000000,2960.69000000,64.75630000,1649267639999,191601.78295900,222,42.52890000,125836.31532100,0
1649267640000,2960.43000000,2964.13000000,2960.43000000,2961.16000000,39.54570000,1649267819999,117142.24397600,148,23.71750000,70253.60944600,0
